q-,q+,HOMO,LUMO,D,P,DN
0.70816178,0.030146905,0.147278107,0.74204142,0.009814767,0.054713595,0.135135135
0.766160601,0.091990336,0.425029586,0.756952663,0.093941344,0.019074464,0.162162162
0.684926602,0.052088968,0.490946746,0.735621302,0.173861592,0.057825744,0.216216216
0.784209742,0.077374061,0.449704142,0.414201183,0.722571441,0.336697354,0.219621622
0.674896504,0.061377599,0.473195266,0.736449704,0.176665811,0.047836749,0.243243243
0.61034157,0.162493007,0.207100592,0.532544379,0.448017066,0.141132714,0.250627027
0.603212626,0.307699399,0.349112426,0.520710059,0.591022012,0.317573778,0.252694054
0.611834467,0.20096794,0.75147929,0.665680473,0.387769678,0.457919526,0.25967027
0.911599635,0.071761523,0.276982249,0.640828402,0.228543867,0.015008592,0.27027027
0.708427407,0.024074152,0.156686391,0.736065089,0,0.064702591,0.27027027
0.622078838,0.356159019,0.473372781,0.600591716,0.582051875,0.227815453,0.28357027
0.428247552,0.485129177,0.08183432,0.714763314,0.179470031,0.038399908,0.297297297
0.600219058,0.196244298,0.733727811,0.665680473,0.393126859,0.406125072,0.313477568
0.590592654,0.658232389,0.029585799,0.139053254,0.207791523,0.291063596,0.316513514
0.619398043,0.200773733,0.733727811,0.662721893,0.379461338,0.511693006,0.318386757
0.7122044,0.055910589,0.600118343,0.745207101,0.214522771,0.03117169,0.324324324
0.587787454,0.321896513,0.414201183,0.671597633,0.591059027,0.265916229,0.345968649
0.561686829,0.333374309,0.556213018,0.727810651,0.250823529,0.32329162,0.346743784
0.557788198,0.16266093,0.544378698,0.576923077,0.642844263,0.332162852,0.351394595
0.558865282,0.332336032,0.579881657,0.733727811,0.281273003,0.378988624,0.35216973
0.559371287,0.335060306,0.585798817,0.736686391,0.273276071,0.431155869,0.364959459
0.604011107,0.191146265,0.715976331,0.674556213,0.403531914,0.355363224,0.394027027
0.541960939,0.154280596,0.171597633,0.822485207,0.544497912,0.096012671,0.394672973
0.399981998,0.818101725,0.591715976,0.647928994,1,0.320455865,0.399840541
0.599877251,0.058414706,0.727810651,0.952662722,9.81E-07,0.220307388,0.399840541
0.596975703,0.476498794,0.372781065,0.75739645,0.863573613,0.222127744,0.40307027
0.589495993,0.034424026,0.73964497,0.644970414,0.382803967,0.570875246,0.405395676
0.547879575,0.323797526,0.498816568,0.70352071,0.667404176,0.045577931,0.405405405
0.589330769,0.058590496,0.593195266,0.714171598,0.43605609,0.056420258,0.405405405
0.552018265,0.323113529,0.453550296,0.725828402,0.293040909,0.069320619,0.405405405
0.554653503,0.323985803,0.435325444,0.726745562,0.277617704,0.059733191,0.405405405
0.543377114,0.153586154,0.150532544,0.695473373,0.583277599,0.054462615,0.408108108
0.520122198,0.478796549,0.437869822,0.781065089,0.014666067,0.185849077,0.409981892
0.527647295,0.887567091,0.426035503,0.449704142,0.523763655,0.232197134,0.413405405
0.534630599,0.155629935,0.224852071,0.822485207,0.562585406,0.202335653,0.415989189
0.515076334,0.47560143,0.473372781,0.795857988,0.043956136,0.299991394,0.431879459
0.548090222,0.050021594,0.495384615,0.703017751,0.65478519,0.03614109,0.432432432
0.537956572,0.153672627,0.207100592,0.813609467,0.557207194,0.149458633,0.435367568
0.598393503,0.188263901,0.704142012,0.674556213,0.397686379,0.304727749,0.436724054
0.597515831,0.19097376,0.721893491,0.668639053,0.39819913,0.356048042,0.437822162
0.559905204,0.326344489,0.520710059,0.727810651,0.232007358,0.220259084,0.438661892
0.557196718,0.328010229,0.562130178,0.730769231,0.2746242,0.328225888,0.442408378
0.61268876,0.193533746,0.686390533,0.662721893,0.360331094,0.464391316,0.442666757
0.551210195,0.325001299,0.520710059,0.721893491,0.252832332,0.167842556,0.442666757
0.711795028,0.555545539,0.532544379,0.576923077,0.516046864,0.369611432,0.443118919
0.60196461,0.47915913,0.349112426,0.75147929,0.833273744,0.167786653,0.443118919
0.604468787,0.184665146,0.680473373,0.671597633,0.403989843,0.253343175,0.446736216
0.559673262,0.496546814,0.556213018,0.624260355,0.669055581,0.239178699,0.448092703
0.536361586,0.152792931,0.224852071,0.819526627,0.576792983,0.203984691,0.448932432
0.556607447,0.325343404,0.544378698,0.733727811,0.254172047,0.330984326,0.452937297
0.556880592,0.325017482,0.544378698,0.733727811,0.264331173,0.27648678,0.454552162
0.592860468,0.189853871,0.715976331,0.668639053,0.42360101,0.303089965,0.458104865
0.56065979,0.209597279,0.461538462,0.695266272,0.30989623,0.170560823,0.459461351
0.58416715,0.183856362,0.674556213,0.662721893,0.444230389,0.15073861,0.460236486
0.589978681,0.187631538,0.698224852,0.668639053,0.420694297,0.252842937,0.461592973
0.547960148,0.323589999,0.538461538,0.727810651,0.285057437,0.223442592,0.461592973
0.600548503,0.397978593,0.526627219,0.704142012,0.734198856,0.238628345,0.465404054
0.594116264,0.184066843,0.680473373,0.668639053,0.424094132,0.20175967,0.471088378
0.602864098,0.316441252,0.479289941,0.701183432,0.684251224,0.205020248,0.472703243
0.593698138,0.184543658,0.680473373,0.668639053,0.415553041,0.255048553,0.472961622
0.547702719,0.326167943,0.550295858,0.733727811,0.277063169,0.275649391,0.473801351
0.578294129,0.178769775,0.727810651,0.662721893,0.480149493,0.290962782,0.480777568
0.607570218,0.009476923,0.692307692,1,0.17588063,0.3334149,0.481875676
0.593523654,0.037281789,0.668224852,0.641242604,0.479521488,0.037145009,0.486486486
0.576816064,0.31774824,0.474378698,0.706331361,0.668806286,0.022287006,0.486486486
0.596145772,0.048277466,0.680473373,0.99704142,0.206424326,0.22342028,0.488981081
0.521065972,0.609230405,0.390532544,0.352071006,0.899069139,0.518119288,0.499962162
0.462240297,0.508715274,0.329408284,0.670414201,0.553833298,0,0.513513514
0.337107299,0.470286064,0.505976331,0.700325444,0.466902502,0.023592101,0.513513514
0.616958171,0.039366533,0.499289941,0.724585799,0.168253154,0.108373075,0.513513514
0.607425214,0.018874234,0.599940828,0.747810651,0.151427838,0.063949651,0.513513514
0.322199464,0.450276636,0.579881657,0.928994083,0.288443532,0.059782157,0.515464865
0.60590489,0.019923565,0.686390533,0.99704142,0.193322874,0.225578043,0.518694595
0.4500651,0.500368071,0.416508876,0.671952663,0.619732449,0.008432921,0.540540541
0.33057685,0.456032514,0.440887574,0.715384615,0,0.010842327,0.540540541
0.597165212,0.050092635,0.571242604,0.752100592,0,0.030268163,0.540540541
0.278014476,0.385876285,0.816686391,0.732100592,0.082724467,0.071228065,0.567567568
0.580806297,0.038003318,0.74556213,0.979289941,0.316792646,0.199860751,0.568432432
0.595450403,0.048017136,0.624615385,0.740650888,0.213120661,0.030719927,0.594594595
0.485192314,0.477789406,0.73964497,0.869822485,0.350938362,0.317456104,0.604605405
0.451459393,0.440274087,0.579881657,0.594674556,0.702085217,0.735096821,0.605251351
0.421942764,0.83868207,0.455621302,0.893491124,0.511540624,0.288293577,0.6214
0.353540838,0.448132036,0.448994083,0.721715976,0.203305894,0.057373981,0.621621622
0.348134489,0.448263186,0.386035503,0.744852071,0.238358634,0.047786553,0.621621622
0.415064765,0.832651745,0.479289941,0.917159763,0.4352782,0.78827703,0.640778378
0.416770966,0.832506378,0.485207101,0.914201183,0.527659136,0.456990107,0.64852973
0.132901527,0.448715288,0.515266272,0.708372781,0.556637517,0.003463521,0.648648649
0.631921669,0.018405158,0.666745562,0.747455621,0.238358634,0.043620288,0.648648649
0.051894294,0.447544925,0.420118343,0.887573964,0.336338054,0.006079388,0.656927027
0.35043496,0.442252742,0.540887574,0.719378698,0.229945977,0.039805395,0.675675676
0.330144876,0.443078439,0.481183432,0.729142012,0.208914333,0.035086975,0.675675676
0.503179659,0.186885278,0.704142012,0.789940828,0.599908582,0.191466085,0.718937838
0.213087691,0.421489082,0.552544379,0.713816568,0.605711353,0.012599186,0.72972973
0.548357375,0.043569087,0.424852071,0.716952663,0.279019813,0.06384926,0.72972973
0.490537342,0.309760536,0.781065089,0.807692308,0.598172771,0.379240909,0.732502703
0.49602603,0.49081489,0.75739645,0.784023669,0.315573512,0.325037601,0.748005405
0.495862192,0.313237728,0.75739645,0.801775148,0.575676903,0.242221036,0.751235135
0.492541221,0.308529228,0.75147929,0.813609467,0.587506502,0.276674171,0.762216216
0.330144913,0.443163421,0.479940828,0.728786982,0.221533319,0.025850919,0.783783784
0.324474395,0.479167504,0.810650888,0.923076923,0.60819477,0.276114873,0.79192973
0.405801655,0.838939166,0.74556213,0.923076923,0.510507129,0.47388299,0.798389189
0.47790201,0.481553999,0.822485207,0.860946746,0.53428789,0.332306719,0.800972973
0.324431594,0.481884686,0.74556213,0.905325444,0.59492913,0.221650646,0.801618919
0.329252497,0.394729852,0.875739645,0.775147929,0.689659722,0.207489774,0.805494595
0.334515247,0.367807561,0.928994083,0.781065089,0.624463448,1,0.819705405
0.499582796,0.185239046,0.727810651,0.792899408,0.606949977,0.294519658,0.835208108
0.099499941,0.435080502,0.191420118,0.720414201,0.25518395,0.053960656,0.837837838
0.485106646,0.033047002,1,0.99704142,0.088879728,0.348026261,0.856524324
0.328733272,0.441062905,0.481715976,0.724467456,0.222935429,0.034835995,0.864864865
0.328836037,0.443228249,0.475207101,0.725177515,0.225739648,0.007679982,0.864864865
0.519090374,0.061526325,0.571301775,0.727189349,0.2916388,0.06806572,0.864864865
0.329879598,0.442952989,0.482485207,0.728816568,0.220131209,0.063297104,0.864864865
0.49369306,0.312296949,0.775147929,0.807692308,0.578123865,0.344399061,0.870089189
0.320024363,0.425900126,0.355680473,0.720532544,0.263596607,0.053609284,0.891891892
0.499422611,0.060548131,0.58852071,0.725207101,0.391188582,0.040307355,0.918918919
0.50806561,0.062532405,0.686390533,0.653846154,0.348326091,0.231256115,0.919181081
0.579845891,0.102225089,0.881656805,0.594674556,0.621457044,0.276023009,0.919827027
0.089575326,0.424320249,0.582721893,0.724940828,0.168253154,0.04161245,0.945945946
0.336527584,0.43633131,0.484733728,0.712988166,0.235554415,0.016966234,0.972972973
0.567060885,0.10099981,0.928994083,0.612426036,0.705745985,0.342145784,0.981191892
0.349056121,0.435285349,0.501597633,0.719053254,0.242564963,0.025951311,1.027027027
0.357234165,0.971971601,0.875739645,0.863905325,0.6085739,0.525856854,1.04837027
0.247518961,0.382187234,0.833786982,0.734585799,0.166851044,0.034133252,1.081081081
0.002705915,0.375828003,0.70964497,0.927928994,0.18087214,0.029665812,1.135135135
0.364516296,0.967555277,0.786982249,0.801775148,0.434831908,0.514904694,1.274451351
0.365567471,0.979218775,0.881656805,0.878698225,0.592804373,0.842559678,1.282202703
0.360684611,0.975472205,0.881656805,0.866863905,0.58709975,0.631379848,1.322897297
0.342346213,0.97247621,0.911242604,0.884615385,0.607532974,0.70357669,1.33517027
0.48635388,0.031038928,0.873550296,0.740295858,0.068703371,0.105009946,1.351351351
0.246695835,0.371699869,0.794733728,0.742899408,0.123385646,0.030167771,1.351351351
0.351597318,0.966050012,0.911242604,0.863905325,0.608639519,0.962507775,1.434
0.333358785,0.975374235,0.911242604,0.893491124,0.592886116,0.791694798,1.480508108
0,0.376272926,0.751242604,0.728491124,0.00140211,0.018321525,1.486486486
